"num_chunks","file_name","total_num_flows","total_num_hh_flows","TP","TN","FP","FN","TPR (Recall)","TNR","FPR","FNR","Precision","Accuracy","F1_Score"
"10","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","106","106","126554","2659","0","1.0","0.9794215752284987","0.02057842477150132","0.0","0.03833634719710669","0.9794384429202205","0.07384186694531522"
"9","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","106","106","126568","2645","0","1.0","0.9795299234597138","0.020470076540286194","0.0","0.03853144311159579","0.9795467023407233","0.07420371018550928"
"8","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","106","106","126803","2410","0","1.0","0.9813486259122534","0.01865137408774659","0.0","0.04213036565977742","0.9813639140420202","0.08085430968726162"
"7","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","106","106","127022","2191","0","1.0","0.9830435018148329","0.01695649818516713","0.0","0.046147148454505876","0.9830574006913138","0.08822305451518934"
"6","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","106","106","127135","2078","0","1.0","0.9839180268239264","0.016081973176073613","0.0","0.048534798534798536","0.9839312088710862","0.0925764192139738"
"5","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","106","106","127501","1712","0","1.0","0.9867505591542647","0.013249440845735335","0.0","0.058305830583058306","0.9867614194356591","0.1101871101871102"
"4","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","106","106","127684","1529","0","1.0","0.9881668253194338","0.011833174680566197","0.0","0.06483180428134556","0.9881765247179456","0.1217690982194141"
"3","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","106","106","127872","1340","0","1.0","0.9896294461814692","0.010370553818530786","0.0","0.07330567081604426","0.9896379467668848","0.1365979381443299"
"2","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","106","106","128254","958","0","1.0","0.9925858279416773","0.0074141720583227565","0.0","0.09962406015037593","0.9925919052258773","0.1811965811965812"
"1","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","106","106","128643","569","0","1.0","0.9955963842367582","0.0044036157632418044","0.0","0.15703703703703703","0.9955999938136996","0.2714468629961588"
"10","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","131","131","219599","2486","0","1.0","0.9888060877591913","0.0111939122408087","0.0","0.050057317539166986","0.9888126867552292","0.09534206695778749"
"9","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","131","131","219662","2423","0","1.0","0.9890897629286084","0.010910237071391585","0.0","0.05129209083790133","0.9890961946934514","0.09757914338919925"
"8","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","131","131","219846","2239","0","1.0","0.9899182745345251","0.010081725465474931","0.0","0.05527426160337553","0.9899242178781006","0.10475809676129548"
"7","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","131","131","220182","1903","0","1.0","0.9914312087714163","0.008568791228583651","0.0","0.06440511307767945","0.9914362602152861","0.12101616628175518"
"6","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","131","131","220255","1830","0","1.0","0.9917599117455028","0.008240088254497152","0.0","0.06680265170831208","0.9917647694135436","0.12523900573613767"
"5","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","131","131","220481","1604","0","1.0","0.9927775401310309","0.007222459868969088","0.0","0.07550432276657061","0.9927817978903409","0.14040728831725618"
"4","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","131","131","220682","1403","0","1.0","0.9936825990048855","0.006317400995114483","0.0","0.08539765319426336","0.9936863232170501","0.15735735735735734"
"3","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","131","131","220887","1198","0","1.0","0.9946056690006079","0.005394330999392125","0.0","0.09857035364936043","0.9946088490477734","0.17945205479452053"
"2","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","131","131","221242","843","0","1.0","0.996204156066371","0.003795843933629016","0.0","0.13449691991786447","0.9962063937790259","0.23710407239819"
"1","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","131","131","221560","525","0","1.0","0.9976360402548574","0.0023639597451426257","0.0","0.19969512195121952","0.9976374338481477","0.33290978398983484"
"10","equinix-nyc.dirA.20190117-130100.UTC.anon.csv","224338","129","129","221693","2517","0","1.0","0.988773917309665","0.011226082690334954","0.0","0.048752834467120185","0.9887803725611686","0.09297297297297298"
"9","equinix-nyc.dirA.20190117-130100.UTC.anon.csv","224338","129","129","221824","2386","0","1.0","0.989358190981669","0.01064180901833103","0.0","0.05129224652087475","0.9893643102625936","0.09757942511346444"
"8","equinix-nyc.dirA.20190117-130100.UTC.anon.csv","224338","129","129","221998","2212","0","1.0","0.9901342491414299","0.009865750858570091","0.0","0.055104656129859035","0.9901399221713567","0.10445344129554657"
"7","equinix-nyc.dirA.20190117-130100.UTC.anon.csv","224338","129","129","222182","2028","0","1.0","0.9909549083448552","0.00904509165514473","0.0","0.059805285118219746","0.9909601094771752","0.11286089238845144"
"6","equinix-nyc.dirA.20190117-130100.UTC.anon.csv","224338","129","129","222413","1797","0","1.0","0.9919851924535034","0.008014807546496588","0.0","0.06697819314641744","0.9919898011491537","0.12554744525547443"
"5","equinix-nyc.dirA.20190117-130100.UTC.anon.csv","224338","129","129","222638","1572","0","1.0","0.992988715935953","0.007011284064047099","0.0","0.07583774250440917","0.9929927475828991","0.14098360655737704"
"4","equinix-nyc.dirA.20190117-130100.UTC.anon.csv","224338","129","129","222849","1361","0","1.0","0.9939297979572722","0.0060702020427278","0.0","0.08657718120805369","0.993933288460767","0.15935762816553425"
"3","equinix-nyc.dirA.20190117-130100.UTC.anon.csv","224338","129","129","223045","1165","0","1.0","0.9948039784130949","0.005196021586905133","0.0","0.09969088098918083","0.9948069662430518","0.18130709768095574"
"2","equinix-nyc.dirA.20190117-130100.UTC.anon.csv","224338","129","129","223388","822","0","1.0","0.9963337942107845","0.003666205789215468","0.0","0.13564668769716087","0.9963359023620503","0.23888888888888887"
"1","equinix-nyc.dirA.20190117-130100.UTC.anon.csv","224338","129","129","223747","463","0","1.0","0.9979349716783372","0.002065028321662727","0.0","0.2179054054054054","0.9979361591163374","0.3578363384188627"
"10","equinix-nyc.dirA.20190117-130200.UTC.anon.csv","221707","133","133","218933","2642","0","1.0","0.9880762721426154","0.011923727857384632","0.0","0.04792792792792793","0.9880834250455555","0.09147180192572216"
"9","equinix-nyc.dirA.20190117-130200.UTC.anon.csv","221707","133","133","219188","2387","0","1.0","0.9892271239986461","0.010772876001353944","0.0","0.05277777777777778","0.9892335865192055","0.10026385224274408"
"8","equinix-nyc.dirA.20190117-130200.UTC.anon.csv","221707","133","133","219381","2194","0","1.0","0.9900981608936026","0.009901839106397383","0.0","0.05715513536742587","0.9901041008894582","0.108130081300813"
"7","equinix-nyc.dirA.20190117-130200.UTC.anon.csv","221707","133","133","219489","2086","0","1.0","0.9905855805032157","0.009414419496784385","0.0","0.05993690851735016","0.9905912281018276","0.11309523809523811"
"6","equinix-nyc.dirA.20190117-130200.UTC.anon.csv","221707","133","133","219752","1823","0","1.0","0.991772537515514","0.008227462484486065","0.0","0.0679959100204499","0.9917774730726902","0.1273336524652944"
"5","equinix-nyc.dirA.20190117-130200.UTC.anon.csv","221707","133","133","219867","1708","0","1.0","0.9922915491368611","0.007708450863138892","0.0","0.07224334600760456","0.9922961733451207","0.1347517730496454"
"4","equinix-nyc.dirA.20190117-130200.UTC.anon.csv","221707","133","133","220158","1417","0","1.0","0.9936048741960961","0.00639512580390387","0.0","0.08580645161290322","0.9936087105562271","0.1580510992275698"
"3","equinix-nyc.dirA.20190117-130200.UTC.anon.csv","221707","133","133","220420","1155","0","1.0","0.994787318063861","0.005212681936139005","0.0","0.10326086956521739","0.9947904450899381","0.18719211822660098"
"2","equinix-nyc.dirA.20190117-130200.UTC.anon.csv","221707","133","133","220699","876","0","1.0","0.9960464853886946","0.003953514611305427","0.0","0.13181367690782952","0.9960488570552258","0.2329246935201401"
"1","equinix-nyc.dirA.20190117-130200.UTC.anon.csv","221707","133","133","221045","530","0","1.0","0.9976080333972696","0.0023919666027304525","0.0","0.20060331825037708","0.9976094683096686","0.3341708542713568"
"10","equinix-nyc.dirA.20190117-130300.UTC.anon.csv","220715","148","148","218048","2520","0","1.0","0.9885749519422582","0.01142504805774183","0.0","0.05547226386806597","0.988582612950579","0.10511363636363635"
"9","equinix-nyc.dirA.20190117-130300.UTC.anon.csv","220715","148","148","218141","2427","0","1.0","0.9889965906205795","0.011003409379420405","0.0","0.05747572815533981","0.9890039689012124","0.10870363569592362"
"8","equinix-nyc.dirA.20190117-130300.UTC.anon.csv","220715","148","148","218379","2189","0","1.0","0.9900756229371441","0.0099243770628559","0.0","0.06332905434317501","0.9900822776781022","0.11911468812877264"
"7","equinix-nyc.dirA.20190117-130300.UTC.anon.csv","220715","148","148","218534","2034","0","1.0","0.9907783540676798","0.009221645932320192","0.0","0.06782768102658111","0.9907845375958245","0.12703862660944207"
"6","equinix-nyc.dirA.20190117-130300.UTC.anon.csv","220715","148","148","218681","1887","0","1.0","0.9914448152043814","0.008555184795618585","0.0","0.07272727272727272","0.991450551840374","0.13559322033898305"
"5","equinix-nyc.dirA.20190117-130300.UTC.anon.csv","220715","148","148","218929","1639","0","1.0","0.9925691850132385","0.007430814986761452","0.0","0.08282036933407946","0.9925741677087297","0.1529715762273902"
"4","equinix-nyc.dirA.20190117-130300.UTC.anon.csv","220715","148","148","219153","1415","0","1.0","0.9935847448405933","0.006415255159406623","0.0","0.09468969929622521","0.9935890465575672","0.17299824663939217"
"3","equinix-nyc.dirA.20190117-130300.UTC.anon.csv","220715","148","148","219414","1154","0","1.0","0.994768053389431","0.0052319466105690765","0.0","0.11367127496159754","0.9947715616448286","0.20413793103448274"
"2","equinix-nyc.dirA.20190117-130300.UTC.anon.csv","220715","148","148","219701","867","0","1.0","0.9960692394182293","0.003930760581770701","0.0","0.1458128078817734","0.9960718751699016","0.25451418744625964"
"1","equinix-nyc.dirA.20190117-130300.UTC.anon.csv","220715","148","148","220066","502","0","1.0","0.9977240578869102","0.002275942113089841","0.0","0.2276923076923077","0.997725584008409","0.37092731829573933"
"10","equinix-nyc.dirA.20190117-130400.UTC.anon.csv","221611","125","125","219033","2454","0","1.0","0.9889203429546655","0.01107965704533449","0.0","0.04846839860411012","0.988926592422793","0.09245562130177515"
"9","equinix-nyc.dirA.20190117-130400.UTC.anon.csv","221611","125","125","219237","2250","0","1.0","0.9898413902396077","0.010158609760392259","0.0","0.05263157894736842","0.9898471201920473","0.1"
"8","equinix-nyc.dirA.20190117-130400.UTC.anon.csv","221611","125","125","219266","2221","0","1.0","0.989972323432075","0.01002767656792498","0.0","0.05328218243819267","0.9899779795317943","0.10117361392148927"
"7","equinix-nyc.dirA.20190117-130400.UTC.anon.csv","221611","125","125","219483","2004","0","1.0","0.9909520649067439","0.009047935093256038","0.0","0.058713010803193987","0.9909571683843835","0.11091393078970718"
"6","equinix-nyc.dirA.20190117-130400.UTC.anon.csv","221611","125","125","219704","1783","0","1.0","0.991949866132098","0.008050133867901954","0.0","0.06551362683438156","0.9919544068010757","0.12297097884899165"
