"num_chunks","file_name","total_num_flows","total_num_hh_flows","TP","TN","FP","FN","TPR (Recall)","TNR","FPR","FNR","Precision","Accuracy","F1_Score"
"10","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","147","147","126805","2366","0","1.0","0.9816831951444209","0.018316804855579037","0.0","0.0584958217270195","0.9817040164555592","0.11052631578947368"
"9","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","147","147","126722","2449","0","1.0","0.9810406360560807","0.0189593639439193","0.0","0.05662557781201849","0.9810621877851498","0.1071819176084579"
"8","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","147","147","126978","2193","0","1.0","0.9830225050514434","0.016977494948556566","0.0","0.06282051282051282","0.9830418039252077","0.11821471652593486"
"7","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","147","147","127162","2009","0","1.0","0.9844469733918604","0.015553026608139599","0.0","0.06818181818181818","0.9844646530258742","0.1276595744680851"
"6","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","147","147","127258","1913","0","1.0","0.9851901742651215","0.014809825734878572","0.0","0.07135922330097087","0.9852070090783959","0.133212505663797"
"5","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","147","147","127567","1604","0","1.0","0.9875823520759304","0.012417647924069644","0.0","0.08395202741290692","0.9875964676224501","0.15489989462592205"
"4","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","147","147","127724","1447","0","1.0","0.9887977951707426","0.01120220482925734","0.0","0.09222082810539524","0.9888105290833449","0.1688684663986215"
"3","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","147","147","127892","1279","0","1.0","0.9900983966989495","0.009901603301050546","0.0","0.10308555399719495","0.9901096521752579","0.18690400508582325"
"2","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","147","147","128213","958","0","1.0","0.992583474618916","0.007416525381083989","0.0","0.1330316742081448","0.9925919052258773","0.23482428115015974"
"1","equinix-nyc.dirA.20180315-125910.UTC.anon.csv","129318","147","147","128606","565","0","1.0","0.9956259531938283","0.004374046806171664","0.0","0.20646067415730338","0.9956309253158879","0.34225844004656575"
"10","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","193","193","219943","2080","0","1.0","0.9906316012305032","0.009368398769496853","0.0","0.08490981082270127","0.9906397379126616","0.1565287915652879"
"9","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","193","193","219944","2079","0","1.0","0.9906361052683731","0.009363894731626904","0.0","0.08494718309859155","0.9906442380386651","0.1565922920892495"
"8","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","193","193","220107","1916","0","1.0","0.991370263441175","0.008629736558824987","0.0","0.09151256519677572","0.9913777585772402","0.1676802780191138"
"7","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","193","193","220371","1652","0","1.0","0.992559329438842","0.007440670561158078","0.0","0.1046070460704607","0.9925657918421715","0.18940137389597644"
"6","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","193","193","220445","1578","0","1.0","0.9928926282412183","0.007107371758781748","0.0","0.10897797854319594","0.9928988011664327","0.1965376782077393"
"5","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","193","193","220635","1388","0","1.0","0.9937483954365088","0.0062516045634911695","0.0","0.12207463630613535","0.993753825107103","0.21758737316798193"
"4","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","193","193","220778","1245","0","1.0","0.9943924728519118","0.0056075271480882614","0.0","0.13421418636995827","0.9943973431256076","0.23666462293071736"
"3","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","193","193","220925","1098","0","1.0","0.9950545664187944","0.004945433581205551","0.0","0.14949651432997677","0.9950588616481262","0.2601078167115903"
"2","equinix-nyc.dirA.20190117-130000.UTC.anon.csv","222215","193","193","221260","763","0","1.0","0.9965634191052278","0.0034365808947721633","0.0","0.20188284518828453","0.9965664038593081","0.3359442993907746"
